party,result,council,region
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",26.47,Баштанська районна рада,Миколаївська обл.
"Політична партія ""Нова держава""",26.92,Березнегуватська районна рада,Миколаївська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",23.08,Врадіївська районна рада,Миколаївська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.54,Врадіївська районна рада,Миколаївська обл.
Аграрна партія України,11.54,Врадіївська районна рада,Миколаївська обл.
Українська Народна Партія,11.54,Врадіївська районна рада,Миколаївська обл.
"Політична Партія ""Опозиційний блок""",7.69,Врадіївська районна рада,Миколаївська обл.
Радикальна партія Олега Ляшка,7.69,Врадіївська районна рада,Миколаївська обл.
"Політична Партія ""Опозиційний блок""",17.65,Вознесенська районна рада,Миколаївська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",14.71,Вознесенська районна рада,Миколаївська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Вознесенська районна рада,Миколаївська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",8.82,Вознесенська районна рада,Миколаївська обл.
Радикальна партія Олега Ляшка,5.88,Вознесенська районна рада,Миколаївська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",34.62,Братська районна рада,Миколаївська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",42.31,Устинівська районна рада,Кіровоградська обл.
"Політична Партія ""Опозиційний блок""",19.23,Березанська районна рада,Миколаївська обл.
Аграрна партія України,34.62,Веселинівська районна рада,Миколаївська обл.
Радикальна партія Олега Ляшка,14.71,Баштанська районна рада,Миколаївська обл.
"Політична партія ""Нова держава""",14.71,Баштанська районна рада,Миколаївська обл.
"Політична Партія ""Опозиційний блок""",14.71,Баштанська районна рада,Миколаївська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",11.76,Баштанська районна рада,Миколаївська обл.
